run_id,fold_id,run_dir,baseline_run_id,baseline_run_dir,split,delta_roc_auc,delta_roc_ci_low,delta_roc_ci_high,delta_roc_p_value,delta_pr_auc,delta_pr_ci_low,delta_pr_ci_high
A2_trailing,B,/home/mykola/repos/kaggle_clicks/runs/20251221_045315_paper_full_grid_10pct_A2_trailing_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.00045672353481807093,-0.0008312521250766889,-8.219494455945296e-05,0.016843676208847524,0.0002651698447229683,-0.0010537684307517017,0.001710987983286146
A2_gap1,B,/home/mykola/repos/kaggle_clicks/runs/20251221_050614_paper_full_grid_10pct_A2_gap1_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.002532873348599529,-0.0029791078540943785,-0.00208663884310468,0.0,-0.0021630715120017074,-0.004151331709926739,-6.543156006379495e-05
A2_bucket,B,/home/mykola/repos/kaggle_clicks/runs/20251221_051958_paper_full_grid_10pct_A2_bucket_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.002018562791949896,-0.002480201949319943,-0.0015569236345798492,0.0,-0.0005872432340758896,-0.0019174073455613268,0.0007593946694681197
A2_calendar,B,/home/mykola/repos/kaggle_clicks/runs/20251221_053406_paper_full_grid_10pct_A2_calendar_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.00041857716544235757,-0.0007824387404404061,-5.4715590444309e-05,0.024152601392653184,0.0002126641916377947,-0.0009141802086180858,0.0013612251103936658
A2_event50,B,/home/mykola/repos/kaggle_clicks/runs/20251221_054840_paper_full_grid_10pct_A2_event50_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,0.00018665484558100243,-0.00019282423547738555,0.0005661339266393904,0.3350209025702524,0.0008172806959122239,-2.8833500229549765e-05,0.0017103149362690585
A3_gap1,B,/home/mykola/repos/kaggle_clicks/runs/20251221_061425_paper_full_grid_10pct_A3_gap1_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.00154154740567769,-0.0018995337627810381,-0.001183561048574342,0.0,-0.0020460525092322705,-0.003595603024761242,-0.0006244094118157749
A3_bucket,B,/home/mykola/repos/kaggle_clicks/runs/20251221_062804_paper_full_grid_10pct_A3_bucket_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0013325722422542485,-0.0017136736470195631,-0.0009514708374889339,7.217781927693068e-12,-0.0016055982763934038,-0.0027504428813160523,-0.000429053684601896
A3_calendar,B,/home/mykola/repos/kaggle_clicks/runs/20251221_064207_paper_full_grid_10pct_A3_calendar_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.00019709477901275196,-0.0004360958801207244,4.1906322095220505e-05,0.10602839204817438,6.257980456494922e-05,-0.0006577649555337696,0.0007724304275442674
A3_event50,B,/home/mykola/repos/kaggle_clicks/runs/20251221_065648_paper_full_grid_10pct_A3_event50_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,0.00047205748250256363,0.00018224342859250346,0.0007618715364126239,0.0014107340884259578,0.0011572392240990935,0.0003892652039830802,0.002092719109906504
A4_trailing,B,/home/mykola/repos/kaggle_clicks/runs/20251221_071321_paper_full_grid_10pct_A4_trailing_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-9.252464328701748e-06,-0.00035213141281050273,0.00033362648415309924,0.9578204135843238,-0.0004201562056442362,-0.0014732242388176885,0.00046359257766662214
A4_gap1,B,/home/mykola/repos/kaggle_clicks/runs/20251221_183007_paper_full_grid_10pct_A4_gap1_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0009362268509978122,-0.001330063910471527,-0.0005423897915240975,3.174199857181037e-06,-0.00020523586511970226,-0.0017577588143787236,0.0015314733404568394
A4_bucket,B,/home/mykola/repos/kaggle_clicks/runs/20251221_184655_paper_full_grid_10pct_A4_bucket_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0011796460120754304,-0.0016027936217756123,-0.0007564984023752486,4.6561557054403124e-08,-0.0006237560517157048,-0.0018478597148458952,0.0007638306769194377
A4_calendar,B,/home/mykola/repos/kaggle_clicks/runs/20251221_190252_paper_full_grid_10pct_A4_calendar_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-4.769360138534573e-05,-0.0003267406606619038,0.00023135345789121237,0.7376332605858957,-0.00015126058342626814,-0.001585902493930405,0.0012553880104223107
A4_event50,B,/home/mykola/repos/kaggle_clicks/runs/20251221_191654_paper_full_grid_10pct_A4_event50_foldB,A3_trailing,/home/mykola/repos/kaggle_clicks/runs/20251221_060137_paper_full_grid_10pct_A3_trailing_foldB,test,-0.0002524281239100201,-0.0006460993377527984,0.00014124308993275817,0.20884074127156738,-0.00026459079474777436,-0.0013912458043881817,0.0006477251563342115
